numerical_review,comments,sentiment,review_length,label
5,"We really enjoyed our time at Watermelon Barcelona. The location was great, near lots of restaurants and the metro, with supermarket across the street. An eclectic apartment with a funky old elevator and super comfortable beds. We loved having coffee on the balcony in the morning. Air conditioning and washer/dryer were great. Third bedroom a bit small, but still cozy and comfortable. Definitely recommend!",0.2833333333333333,413,0
5,"We had a fantastic stay at Julia's apartment, it is perfectly located with lots of bars and restaurants nearby while being surprisingly quiet. The beautiful apartment was more than well equipped (beach towels, ear plugs, travel power adapters etc) and Julia was a great host, always available for us!",0.5785714285714285,301,0
5,"Great location, peaceful with amazing local restaurants nearby. A quick walk to various different neighborhoods in Barcelona and many landmarks. Friendly host and neighbors!",0.3280092592592593,173,0
5,"We would like to thank Petrutz and his wife (and Ruby, the very kind dog :) ) for their welcome. The apartment is well described: Confortable, clean.... The location is perfect. Very close to the Ramblas. Petrutz and his wife are very helpful and help us to feel at home. We recommend this place!",0.5566666666666668,318,0
5,"I am going to start with the negatives. - We had clearly communicated to the host that we will pack our luggage prior to checkout and pick it up late afternoon since we had a 7pm flight out. Despite this he demanded an extra 10 euros ( which we initially thought was for minor stain on the wall paint, but he clarified it was not) claiming it was for a late check out, knowing we were in a hurry to get to the airport and didn't have the time to argue. We had to be bullied n relent. This was not good! He blamed the communication gap on his English speaking skills which we felt was above average. Not done!! - He claimed that he is not charging us for the cleaning fee and that it is ""free"" for us. We know that cleaning fee is called out explicitly in the room rent charges. This was definitely deceit! - The room was equipped with an AC but the remote was not kept in our bedroom so he had to sleep in the heat n the street noise (opened the window). It was given the next day when requested but the blanket went missing n returned on persistence. This whole experience was very uncomfortable. Other comments: The place was as advertised and the room was spacious and the bed was comfortable. The neighborhood/streets around aren't the cleanest but that didn't bother us much as this was expected in the ""old"" quarter of Barca. Petrutz or Pedro as he prefers to be called in Spain has sound knowledge of Barca and was helpful in guiding us with some transport options and local sightseeing. He helped us with the luggage up n down 4 floors which we appreciate. That was quite useful.",0.01949786324786325,1607,0
4,Great place and host!,1.0,21,0
5,"Petrutz and his wife are very kind and thoughtful, with good advice about places to go, generous and open with their place, a sweet and gentle old dog, and a wonderful location. They welcomed us very warmly and we enjoyed our time there.",0.48100000000000004,238,0
2,"The apartment is faithful to the photos, it needs to warn of the noise of the traffic since it is constant in the area and the terrace we have barely used it for this reason. He is well communicated and the owner was cuts and helpful at the reception.",0.025,251,1
5,"Fernando's apartment in Barcelona was wonderful and worked out well for our family of 4. It is clean and just as shown in the photos. It is very convenient to multiple metro lines and close to the Aerobus stops. Fernando was an excellent host. Very responsive and easy to communicate with. We arrived on a Sunday evening when many things were closed, so he provided coffee, milk, bread, butter and jam so we would have something in the morning. I highly recommend Fernando's apartment!",0.38,485,0
3,"Fernando and Alejandro have been super attentive and friendly with me. I have felt at home. The floor is beautiful, the incredible area would come back without hesitation. Thank you very much.",0.44547619047619047,192,0
5,"Fernando is one of the best hosts we've ever had. He met us at the apartment and showed us around, and he had helpful information for us (maps, etc) along with a great restaurant recommendation. A super nice guy, and we really enjoyed his wonderful apartment.",0.7055555555555556,261,0
5,"Edina was a very welcoming host, and the apartment is clean and very well located. I would definitely stay there again.",0.19166666666666665,119,0
3,"Paradise ... Generosity, availability, Edina's attention confirms its Brazilian origins. The apartment is very spacious. I reserved the rest, with private bathroom. A real small independent studio which must be 25m². The beautiful terrace where breakfast is served on the streets of Poblenou's most lively street. The neighborhood is top and 10 minutes walk from the beach. For me now Barcelona = reservation at Edina !!!",0.28599076704545456,422,0
5,"Smiling and ponctual host, I recommend :)",0.5,41,0
4,It's a perfect location,1.0,23,0
2,"I was in Andrea's house for 5 nights and 6 days. The room was big and the bedding and towel were very clean. Andrea was also happy to wash the laundry. The bathroom was clean, the hot water came out well, and the water pressure was very strong. Cat Mickey and Mini were so cute! If you go to Barcelona again, you want to stay again!",0.46255952380952386,332,1
0,"Highly don’t recommend. A horrible, totally crazy women. We got some rules printed on the door of our room. Like not to be loud, to clean the bathroom with the special thing for glass, to look after her cat’s food and water, to keep the balcony opened because of the cat’s toilet etc. We followed all those rules, washed the dishes after ourselves, totally kept an apartment in a good way. Nothing was spoiled, broken, dirty etc. We agreed that we will check out at 12:00. Me and my friend are working on the photoshoots (as a stylist and photographer) and she knew that we came to make some work as well. In the morning we had a shooting day, so we had to prepare clothes, to iron it etc. We were in a hurry, because of small amount of time and made some mess in apartment, basically just some packages from the clothes laying on the floor. We had to leave Barcelona at 15:10. So, we partly packed our bags, to totally finish with them after the shooting. We came to the apartment at like 11:45 thinking that 10 minutes late for us to get ready and leave won’t be a big problem for the owner. BUT My friend opened the door with her key and got thrown in her with our big 20 kg bag. The owner was screaming, swore and throwing all of our clothes and other personal staff through the door to the staircase. This women just threw all our stuff together with the garbage (from the kitchen, bathroom etc. which we wold have to throw when we leave the apartment) and closed the door. God bless there weren’t any expensive or fragile stuff that could be broken. And the camera was with us. Would she compensate our losses if something is broken? Not sure… We were totally shocked and had to pack our baggage right on the floor. An old lonely senile women living with her 2 cats probably, needed a spectacle.",-0.11379365079365081,1843,1
2,"It is a pleasant apartment to stay. We have received extremely friendly. We immediately felt at home there. The apartment is within walking distance of the boulevard and the beach. There are pleasant shops and restaurants nearby. That makes you really feel in Spain! The bus turistic is even closer than the boulevard and so you have all the sights within reach. Taxis are also ready on the corner and renting a bike is also within walking distance. In short, a great base for viewing the city. The condition is also maintained by the 60 steps up!",0.26145833333333335,547,1
5,"Great experience, Kees is a very friendly and helpful host, positioning of the flat fantastic, took us only 7 euro by taxi do get to rambla.I recommend and for sure i'll be back",0.30892857142857144,177,0
5,"Lovely apartment. Pictures are very accurate. Clean and well maintained. Second bathroom is a little small but manageable for a short stay. Didn't meet the hosts but Silvina, the lady who met us, was friendly and helpful. Would happily stay here again!",0.25824074074074077,252,0
1,Our stay in the apartment of Eli and Agus was great! It couldn't have been better! We were warmly welcomed and the apartment completely fulfilled our wishes. It is very clean and super nicely decorated. The location is also perfect. The subway and shops are nearby. We would always come to this apartment! Highly recommended :),0.5395000000000001,327,1
2,"Very pleasant welcome, complete with what breakfast. Ideally located apartment, with many nearby restaurants and grocery stores. Sagrada Familia 5 min walk. Apartment to advise",0.6506666666666667,194,1
5,We very much enjoyed our workation at Teresa's place. The wifi connection was perfect and we loved the rooftop terrace.,0.7333333333333334,119,0
5,This was a great place to stay and Teresa was responsive and helpful. A fully equipped kitchen and good size living room and dining room had lots of room for my group of 6. Everything was clean worked as it should. Only a few minutes walk from the subway station that gets you anywhere in the city and 20 min walk to sagrada familia! I definitely recommend staying here if you are in Barcelona!,0.26944444444444443,394,0
2,"A clean and tidy environment with relatively complete equipment, but the landlord has many rules, which makes us feel a little depressed. What has a big impact on us is that we can only make breakfast in the kitchen and the room windows cannot be opened. This makes me who are used to cooking at home very uncomfortable. At the same time, it also greatly increases my dietary expenses, making the superiority of the homestay not reflected, and the windows cannot be opened also make the room more stuffy. Overall, although the price is slightly cheaper than a comfortable hotel, it is not as comfortable as the hotel in terms of living experience.",0.17750000000000002,647,1
5,"Great appartement, everything was 5 stars for me. BCN was exciting and the appartement was on a good spot! Really good communication and i had a really good experience because of Juan.",0.675,184,0
1,"I booked the studio for my parents who came to visit us, and the pink treatment as much as the floor were great. I didn't have to worry about anything, and my parents are very happy. We will repeat without a doubt!",0.475,214,1
5,"Rosas flat is fantastic! Clean, bright, working internet, big windows and great little balcony. Our train was late and Rosa waited for us, and gave us such a warm welcome and introduction to the city. The bottle of wine waiting for us was such a nice touch. The flat was perfect for walking in town or catching the metro, so close. Thanks again Rosa, it was just wonderful.",0.368287037037037,374,0
4,"When we make our booking, I missed one night. Rosa is very kind to help us solve the problem. The room is ok. Small but quiet. It's really convenient to go almost all the attractions. And if you don't like walking, the metro is right there, down to the street, 3mins walk.",0.19430839002267572,272,0
5,"Rosa was a great host. So much love and energy, felt at home in Barcelona because of her help and warm welcome. The location of the apartment is very convinent, a well equipped kitchen and 2 comfy couches. Rosa was kind enough to call us a taxi because we had an early flight to go back home",0.4000000000000001,291,0
5,Rosa's place is a great stay. She is very accommodating and even offered to pick us up from the airport when we arrived. Very clean and walkable to shops/restaurants/attractions. Hope to return soon!,0.5319444444444444,199,0
5,"Nice loft, clean and with a good location",0.5555555555555555,41,0
3,Perfect stay. All very careful. Rosa is very communicative and in any thing responds very fast.,0.3325,95,0
4,Nice clean place near to almost everything,0.35555555555555557,42,0
2,"Rosa's accommodation is in a fantastic position, all the main attractions can be reached on foot. Rosa is a very helpful host and replies immediately, very flexible in check-in. The apartment is equipped with everything you need. We will definitely come back!",0.1611111111111111,259,1
5,"Getting to the place was a little nerve wrecking given we were meeting there dad last minute to get the keys. Meeting someone random felt weird but once meeting him, he was very sweet and helpful. The place is exactly as described, super cute and comfortable loft. Every thing you need is there with big windows to light the place up. Ran out of hot water twice but just waited 30 minutes and it was fine! I would absolutely book this place again. Rosa is very communicated and the place is perfect with a perfect location to everything!",0.25421568627450986,537,0
5,"We loved Ana’s appartment. Ana is wonderful and so helpful. Place is very clean , comfortable and quiet. Had everything we needed. Do not hesitate to rent it. This comes from experirnced travelers. Thank you Ana! We would come back in a heartbeat.",0.42944444444444446,249,0
5,"Ana is a great host, friendly and welcoming. Her flat is in and old charming renovated bulidng and the is nice and clean and has all you need. The area is nice, a two minutes walk to C/ del consell de Cent with loads of restauants and bars, a street with priority to pedesstians strecthing all the way to Passeig de Gracia. A short walk to the metro station and Barcelona Sants station",0.3907407407407408,390,0
2,"Very nice fully equipped, very clean apartment, close to the metro in a quiet pedestrian street. Balconies are a plus overlooked ... really ideal for 3 people. Ana is also very welcoming.",0.4713333333333334,187,1
5,Jordi's place is exactly what it's described and pictured to be. It was clean and comfortable. What we liked best was the convenient location. It was a quick 5 minute walk to the subway line and lots of cafes and restaurants nearby. I'd highly recommend staying here for your visit to Barcelona.,0.44428571428571434,295,0
2,Clean accommodation and very well located!,0.30833333333333335,42,1
2,Exceptional house in a very beautiful district perfectly served by the metro with a few stations from the city center. It is a perfect place for those who arrive by car and then want to move by public transport. The room and the welcome are perfect.,0.574074074074074,261,1
4,A pleasant and well placed apartment - a big thank you to Dani for its responsiveness for the delivery of the keys,0.3666666666666667,114,0
5,"We absolutely loved our stay at Nuria's. The apartment is huge, really clean, and well located in the beautiful area near Sagrada Familia. Additionally it had all the amenities you would want, from a fully equipped kitchen, to a bathroom with all the toiletries. We'd definitely come back!",0.34523809523809523,289,0
5,"The place was great and centrally located, only minutes from Sagrada Familia. Easy access to public transport. We felt welcomed and right at home. The flat was cosy and we even had a Christmas tree set up, which was fantastic.",0.23675595238095237,231,0
5,"Great experience. My family really enjoyed their stay, hosts were welcoming helpful and the place was wonderful.",0.7666666666666666,112,0
4,perfect thank you !,1.0,19,0
5,Great location and super friendly host. The place was spacious and had everything we need. This place is perfect if you want to be in the heart of Barcelona close to everything.,0.6270833333333333,177,0
5,"Fantastic location from the Sagrada Familia being 5 mins round the corner to La Guinda below for food. Great hosts, so helpful and made everything simple & easy and welcoming. A perfect weekend stay for the six of us",0.4055555555555556,216,0
5,"A lovely quiet space. The apartment is just as it's shown here in the photos- clean, comfortable and spacious. We found it very calm and quiet, which was just what we needed as our son broke his arm on the first day, so we spent quite a bit of time in it. It has everything you'd need and Carles and his mother were lovely and helpful. She met us on the night we arrived and gave us suggestions for places to go and eat in. It's a short walk to the Sagrada Familia, but also a walk will bring you to less touristy, local neighbourhoods. We'd recommend it!",0.17833333333333334,561,0
5,"I've booked this appartment for my parents city-trip to barcelona. They've had an awesome time. The appartment is very nice and very clean. The apartment's equipment is really good and the location is quite perfekt for a city-trip, most of the touristic attractions are reachable within easy walking distance. Carles is a very obliging host and gives a lot of leads and hints for the stay in barcelona. Thank you carles for the nice stay in your appartment :)",0.5766666666666667,471,0
2,"Great host and person, I recommend 100%!",1.0,40,1
2,"Excellent apartment, exactly as shown in the photos. Excellent location, near the subway, markets, bakeries and the sacred family. Carles is very friendly and communicative. It was all perfect.",0.6395833333333334,205,1
4,"The discription was accurate ,awesome flat,great location.",0.7000000000000001,58,0
4,"The apartment is great and Frederic has always been very well predisposed to help us. If I have to comment on something to improve, it is that the Wi -Fi signal is not good enough to work and have videocalls in the living room/dining room since the router is in the farthest room. The rest was all right.",0.18714285714285714,304,0
5,"We had an excellent stay at Damien and Team's apartment. Everything was as described and very well organised. A great location to explore the city from - close to transport, shops and cafes.",0.6666666666666666,190,0
4,Hosts were very nice. Location is great. You could reach everything on foot. Apartment was clean. The roof terrace is great. Accessible to all guests and a beautiful view of Barcelona.,0.6619444444444446,202,0
5,"We stayed in Marta and Paul’s apartment near Montjüic in Barcelona with our infant daughter for 12 days. Location is in a nice quiet area and good in terms of transit accessibility and access to key locations - beach, Barceloneta, Gothic quarter, La Ramblas, El Born etc. The apartment is as depicted in the listing. Apartment has heater, fan, two single beds, a couch and very basic kitchen essentials. Stephane helped us with the check in and was very helpful. The communication overall was great. I had booked it from a day earlier erroneously, and our flight landed 3 hours late on the day of, but Stephane was very understanding and was very responsive in helping us with the check in. The crib provided didn’t have a mattress, but Stephane very quickly arranged one. I did have a chance to meet Marta and she is very sweet as well. The only reason I couldn’t give it a 5 star all the way is that there are small things (that one can live without, but the final mile that can go a long way in creating a good experience) such as not enough hand soap in the bathroom, no extra bedsheets, no dustbin in the bathroom, no line clips etc. Not that I bank on these solely, but in other places I have stayed the hosts generally offer a lot of tips, local guides maps etc., but didn’t get much in those terms. I understand that they manage a lot of apartments and hence may seem a little transactional in nature. But we had a great trip overall and wouldn’t mind recommending it to others!",0.12396267873540599,1501,0
5,"There is a lovely terrace where you can enjoy a view of the park in front of you, and I was able to relax very much. The surrounding area is relatively quiet and there are no security issues. Although the main tourist area is a bit of a distance away, the location is good and within walking distance. The host was also flexible in handling irregular situations such as late check-in times.",0.2474074074074074,390,0
5,"Very nice apartment, matching the photos and description. very cozy balcony with a wonderful view, comfy Bed. overall had a nice stay, walkable distance to metro, La Rambla and gothic quarter.",0.42400000000000004,192,0
5,"Beautiful location overlooking Montjuic park and around the corner from Carrer de Blai, the best street for pintxos. Nice 20 min walk to more central area. WiFi was fast, great for remote work. Kitchen well equipped for cooking. We couldn’t figure out the washing machine and host did not respond to my message in the app. Check in with host’s friend Stéphane was smooth. Apt could have used some more homey/personal touches like coffee and olive oil, and design was a little bare bones, but overall great place.",0.40083333333333326,512,0
5,"Thank you so much for the beautiful apartment I'm pleased to be here and interacting with you Best regards, Aziz Alshadokhi",0.5166666666666667,135,0
4,"Very nice apartment! Very well located, spacious. It is the same as in the photos. It has washing machine and dryer in the apartment and there is soap to wash clothes, dishwasher pills and cleaning products. Very good towels and very comfortable beds. The air conditioning is fantastic !!! It does not do any noise and it is a pleasure to sleep fresh. Very good hot water in the showers. The Internet is perfect, You have to keep in mind that at night there may be noise late, especially during the weekend, to take into account if you are going to bed early or if you go with children. There are many restaurants, places to buy provisions and bars. Mario is a love !!!!!! It helps you with anything you need !!",0.4764166666666666,761,0
4,Central in the city very close to the Ramblas... Carrer Valencia is a loud street and it was really hot in the apartement... Except of some cucarachas in the kitchen everything was good!,0.28500000000000003,194,0
5,"The location is fantastic, right in the gothic quarter and close to the water. The apartment has a big, open layout. The pictures are accurate, if anything make the place look a bit smaller. Good communication with the host, who met us upon arrival. All in all - this place was perfect as a ""home base"" in between activities and had more than enough room for our group of 3.",0.22597402597402597,376,0
5,"Our family of 10 enjoyed our stay in Barcelona and found this residence to be perfect to meet our needs. It was centrally located in the city, near all of the best restaurants and an easy metro to the beach. The owners gave us great restaurant tips, met us upon arrival, and even helped my brother retrieve his lost phone. The balcony was a great place to sit and watch the city and the space was clean with excellent showers.",0.6,426,0
2,End of perine,0.0,13,1
5,Everything was perfect! Lots of thoughtful touches. Fantastic location. Will gladly stay here again.,0.575,100,0
5,"Hi, David! First I want to say a few words for future guests . It's really cozy, comfortable and pleasant apartments . We felt they did not like the hotel , but as a guest of a friend who had kindly left us his apartment. The apartments are very interesting feature , many different decorative elements. Aquariums with fish, flowers and birds on the terrace add atmosphere ( perhaps already hatched chicks ? I talked to them every morning :) David took care of breakfast (coffee , croissants, jam, butter , cereal , orange ) - it was very nice. In the comfort living room we had dinner every evening. The apartments have air conditioning and heating system that can be used if necessary. Two separate bedrooms tastefully decorated with a very (!!!) comfortable beds. The apartments are located in a residential area , not in the heart , but not so far - to Plaça Catalunya and Rambla we reached on foot. Near the apartment there are a lot of different shops (food , fruit, fish) and restaurants where you can dine . I highly recommend David's apartment for a pleasant stay in Barcelona and hope to stay in them again. And a few words for you, David . My friends and I are very grateful to you for your apartment! Thanks for the welcome meeting (unfortunately , my English allows me to basically listen than talk :) And we are always ready to help if you were going to spend a holiday in Russia. Welcome! Для русских единомышленников: Сначала хочу сказать несколько слов для будущих гостей. Это действительно уютные, комфортные и приятные апартаменты. Мы ощущали себя не как в отеле, а как в гостях у друга, который любезно оставил нам свою квартиру. Апартаменты очень интересно оформлены, много различных элементов декора. Аквариумы с рыбками, а также живые птички на террасе добавляют атмосферы. Дэвид позаботился о завтраке (кофе, круасаны, джем, масло, мюсли, апельсины) – это было очень приятно. В комфортной гостиной мы ужинали всей компанией каждый вечер. В апартаментах есть система отопления и кондиционеры, которые можно использовать в случае необходимости. Две отдельные стильно оформленные спальни с очень (!!!) удобными кроватями. Апартаменты находятся в жилом квартале, не в самом центре, но и не так далеко – до пл. Каталониии и Рамблы мы доходили пешком. Рядом с апартаментами есть масса различных магазинов (продукты, фрукты, рыба) и ресторанов, где можно пообедать. Очень рекомендую апартаменты Дэвида для приятного отдыха в Барселоне!",0.2894871794871795,2508,0
2,I did!,0.0,6,1
5,David has thought of everything! His apartment is in a great location with everything you need including a secure underground car park. David was a welcoming host who clearly enjoys having people stay. I would stay again and not hesitate to recommend to others. Enjoy!,0.45000000000000007,268,0
5,David was great and we truly loved this apartment! The area was also perfect and the views from the top of the arena are amazing. We will look for this place again on our next visit to Barca!,0.6291666666666667,191,0
4,"David's apartment is incredible, his spaces are wide, clean and stylish. The place is impeccable and the beds are super comfortable, ideal for a good rest. The building has an elevator, so the transfer of suitcases is not a problem. David is very cordial and kind, he quickly answers the messages.",0.4902777777777778,297,0
5,David was the perfect host The location is ideal and the apartment is quite fashionable and generously stocked,0.95,114,0
5,"Excellent welcome, the apartment is very clean with a great decoration!",0.8191666666666667,71,0
5,Great stay in David’s apartment. Very well equipped and clean with air conditioning. David was very helpful and flexible with our arrival and departure times. Great location for the metro. Would stay again.,0.47333333333333333,206,0
2,"We only spent one night in the apartment but were very satisfied with our stay. David is very helpful and the apartment is spacious, clean, well maintained and close to public transport and Barcelona station. The balcony with all its plants is a real plus! We also appreciated the little touches (tea, coffee, travel guides available). We recommend without hesitation!",0.18791666666666668,368,1
5,"Davids place is beautiful, very close to the metro and shops and more than all else he is very helpful and welcoming. We highly recommend!",0.39,138,0
5,This lovely and funky apartment is super easy to access from the train station. We had a quick overnight with our daughter and David’s home was perfect for us. A lift and AC- SO nice! We also had access to a parking spot we ended up not needing. Easy access to metro and a cafe on corner for breakfast.,0.5404761904761904,302,0
2,"It is a very comfortable homestay, the house is very warm and the landlord is very warm and friendly! Super awesome",0.6470138888888889,117,1
5,"The check in and check out process was really easy. The room was large and it has a window (which was great since it was so hot during my stay). Sid even provided a fan which was awesome. His apartment was in a great place and walkable to everywhere I wanted to go. It was also very easy to get to and from the airport as well! All in all, it was a great place to stay in Barcelona :)",0.6113095238095237,384,0
5,"This is a good location to base yourself to explore Barcelona. A few of the key attractions are pretty close. The flat is very close to a couple of Gaudi's famous works; Casa Milla & Batlló. La Rambla is a 15 minute walk and beyond that, the beach is a further 15 minutes. The main train station, Barcelona Sants, is a 7 min taxi ride and the airport shuttle bus drops you a 10 minute walk away from the flat. Sid was easy to contact on the day of arrival and we were shown into the apartment without fuss. The room was clean with towels provided and a fan which was essential on one evening! The bathroom was clean and towels were provided. There was a problem with the wi-fi on the first day, but as we were out most of the day it was not a problem, but Sid quickly fixed it. I would recommend the apartment to anyone looking for a base to explore the city, who is happy to walk 15-20 minutes to some locations.",0.1478070175438596,930,0
5,"We were blown away by this nocarz and our host. He was incredibly organized, friendly and helpful. The space was absolutely gorgeous, spacious, comfortable and very clean. Very close to centre. It was like a little slice of heaven. Highly recommend staying here.",0.37802083333333336,262,0
4,"Although the location and price of the apartment were great, we were disappointed in the overall cleanliness of the place. The towels and robes had been well worn, the floors felt dirty, and the bathroom smelled of mold from the time we go there. The host takes good care in providing amenities such as water, cava, and snacks upon arrival, but we wish he had paid more attention so basic details such as cleanliness.",0.07222222222222223,421,0
4,great stay highly recommended,0.48000000000000004,29,0
4,Our stay in Barcelona was amazing and very comfortable in this beautiful apartment. Super well located and well equipped! The apartment is close to La Pedrera and La Casa Battló. Pablo and his team were very agile in responding and we were treated with great respect and kindness! I recommend strongly!,0.6540476190476191,302,0
4,Good price,0.7,10,0
5,We loved the apartment. It was very comfortable and trendy with a peaceful outlook to courtyards. Extremely central. Great bakery below - their churros and real hot chocolate a treat. We parked our car around the corner at Manhatten carpark - 45 euros for 2 days.,0.4635714285714286,263,0
5,"We were met at the apartment by Bianca as Rose was out of town. Initially there was a mixup about the meeting point as Bianca wasn't told that we would be waiting near the front door downstairs ( we didn't know the flat number at that time) but after a phone call, this was rectified. Bianca soon made us very welcome and showed us the amenities of the flat. She also gave us her contact details in case we needed her assistance. The flat is in a great location. Close proximity to the Sagrada Familia and also to the City bus tour stops. There are plenty of eateries and small shops nearby. We were able to find a SIM card for my iPad just across the road which was handy as the flat had no wifi even though there was a router there. The flat was clean and had most facilities that guests would need. It would be nicer if the curtains could be fixed properly as this would make the place look a lot more chic. A small extension cord would be useful as the cord from the kettle couldn't reach the under cupboard outlet on the bench. This meant we used the outlet in the cupboard and had to leave the door open to avoid steam build up. This is just a suggestion and not meant to be a criticism. Thank you for making the process of booking our first air BnB easier by answering our questions.",0.22689393939393937,1302,0
3,"The place was as advertised. Updated and clean. Very comfortable bed and great communication with the hosts. Unfortunately, the unit directly above ours was extremely loud every night of our stay from about 11pm-2am. I’m not sure if these were also nocarz renters or building residents but it made it very hard to sleep during our stay.",0.08218750000000002,337,0
5,"Loved my stay at the apartment! Location is excellent and flat thoughtfully kitted out with everything you could need. Quite noisy however this is unavoidable given the central location. Very clean, would stay here again.",0.45444444444444443,222,0
5,The apartment is very conveniently located just minutes walk to Sagrada Familia. The washing machine was nice e to have but a line to dry the clothes somewhere would be helpful. The apartment was clean and had lots of cooking pans. I enjoyed my stay.,0.32,254,0
4,"Excellent host and apartment, stay at the top Thank you again!",0.8125,68,0
5,"Great apartment in a great location. Everything was exactly as expected and in the photos. Jordi met us at the apartment and showed us around and made us feel at home. The apartment was huge and all the bedrooms were great. Lots of supplies upon arrival. We noticed later that day there was no ironing board and the very next day Jordi brought us an ironing board , already rebooking for next trip !",0.3375,400,0
5,Great central location 10 minutes from last Ramblas and Gothic Quater. Perfect location to stay with a large family very clean has all the amenities great air-conditioning and great Wi-Fi just make sure they keep it on until you check out. Thank You Marta and Jordy,0.5101058201058201,265,0
4,"When we arrived Francisco, the concierge made us very welcome and explained everything to us. The apartment is great apart from a small hot water problem which was solved very quickly by Francisco. The apartment is a little less bright than in the photos but it is not dark. In terms of dishes it was enough for 7 but a little just, it was necessary to wash the dishes after each meal. The apartment is very well located 2 minutes walk from the metro which allows you to be at the beach in 10 minutes. There is also a small grocery store in front of the apartment and a DIA a few minutes on foot.",0.14777777777777779,602,0
5,"My daughter Emma and her friends enjoyed her visit and loved your place. The extra bathroom, the good amount of space and the prompt helpful response to any queries were much appreciated. Thank you!",0.43,199,0
5,We had great stay at apartment in Kool Modern Eixample. The Host was very kind and helpful. The district is very quiet and you can find small supermarket not far from the apartment.,0.24666666666666667,181,0
2,"We rested a large family, (5 adults and a child) .Lobsang very quickly answered all requests and questions. Before with our arrival I asked what was required of products for our child, since we flew on the day of Catalonia, almost at night, the stores did not work. We walked quickly. The quarter fully corresponds to the description and photo on the site. At the time of the settlement, the apartment was very well removed, the presence of 2 Key sets created additional amenities for a large company. The installation in the apartment of the electric linen was very convenient.",0.227891156462585,578,1
4,"It really has been an excellent experience, the floor is very cozy, comfortable and everything is perfect. His host is a cozy and very pleasant person, he has helped us a lot and has made us feel at our home.",0.4419047619047619,208,0
5,"We spent an amazing time in Mrs. Lobsang apt. It couldnt be better. Close to a good market, restaurants, and nice places to visit. Mrs. Lobsang is for sure an excelent host. 10/10 would stay again",0.4857142857142857,196,0
0,"We liked 5 men on a motorcycle vacation very much at Lobsang in the apartment, we were there for a week. She is very committed, helpful and quickly accessible, there was a misfortune with the bathroom door on Saturday and Tuesday, a new door was installed, measured and made. Betting number. Gladly again and recommended, Klaus Hagel",0.3452272727272727,339,1
5,"We had a wonderful stay at her place. It was clean, convenient and walkable to most major landmarks. She knew we were traveling with the kids and loaded up the house with some snacks which was a very thoughtful touch. We will definitely book this apartment again when we return to Barcelona.",0.40819444444444447,291,0
2,It was a really good space from one to ten! I want to stay here even if I come back to Barcelona !!!,0.2333333333333333,100,1
2,"We had a very good stay with Lobsang. The apartment was nice, well entered and our host very accommodating.",0.57,107,1
