id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7120827,,20250305023237,2025-03-05,city scrape,Bcn - Loft Parc Guell,"It has an area of ​​50m2, and has the capacity to accommodate up to 4 people. It has 1 double bed, a double sofa bed, 1 bathroom, an outdoor patio and the kitchen is of the office/American type with: microwave, refrigerator, cookware, kettle, oven, coffee machine.<br /><br /><br />** ATTENTION: TOURIST TAX NOT INCLUDED PAYMENT AT ACCOMMODATION **<br /><br />Council tax<br />€ 6,25  per person and night.","This loft is located in the Gracia neighborhood, one of the most emblematic and popular places in the city. It is located a few minutes from Park Güell, which is a huge garden with architectural elements built by the emblematic architect Antonio Gaudí.",https://a0.muscache.com/pictures/prohost-api/Hosting-7120827/original/10d2b7d4-a712-4c4a-8055-546e4812a560.jpeg,35712072,https://www.nocarz.pl/users/show/35712072,Bcn Mad,2015-06-13,"Barcelona, Spain",,,95%,97%,,,https://a0.muscache.com/im/pictures/user/efbdc23d-ca18-4b0c-968a-9415bee81a49.jpg?aki_policy=profile_x_medium,Sol,30,45,"['phone', 'work_email']",t,t,"Barcelona, Catalunya, Spain",la Vila de Gràcia,Gràcia,41.40977,,Entire home,Entire home/apt,4,,1 bath,1,2,,$101.00,2,730,1,2,,730,2.0,,,t,3,13,,,2025-03-05,244,47,1,,,255,25755,2015-08-12,2025-02-17,4.27,4.5,4.22,4.63,4.56,4.38,4.09,HUTB-005617,t,13,13,0,0,2.1
7126414,https://www.nocarz.pl/rooms/7126414,20250305023237,2025-03-11,city scrape,,,"Practical and quiet. Easy access from the airport and from Sants Station (10 minutes walk).<br /><br />You will be close to Montjüic, where you can visit the magic fountains, the MNAC, the parks of Montjüic and the Castillo, from where there are views of the whole city.<br /><br />You can also stroll around Las Arenas, an old bullring converted into a shopping mall.",https://a0.muscache.com/pictures/90374155/a7d0dfe8_original.jpg,26521943,https://www.nocarz.pl/users/show/26521943,Alice,2015-01-22,"Barcelona, Spain","¡Hola! Soy Tere y soy del equipo de Feelathome. Ofrecemos apartamentos totalmente equipados para que disfrutes de tu visita en Sevilla.

Estamos siempre dispuestos a hacer tu estancia lo más placentera posible. ¡Siéntete como en casa! :)

Hi! I am Alice and I am part of the Feelathome team. We offer fully equipped apartments in Seville.

We'll always be willing to make the most of your stay. 

Welcome home :)",within an hour,,,t,https://a0.muscache.com/im/pictures/user/User-26521943/original/911ac313-8f18-4ad9-b658-cb07cf53e85e.jpeg?aki_policy=profile_small,,Vila de Gràcia,,53,['phone'],t,,"Barcelona, Catalunya, Spain",Hostafrancs,Sants-Montjuïc,41.37336,2.14199,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,1,"[""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Dryer"", ""Crib"", ""Patio or balcony"", ""Microwave"", ""Kitchen"", ""Backyard"", ""Books and reading material"", ""Cooking basics"", ""Bed linens"", ""City skyline view"", ""Heating"", ""Oven"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Air conditioning"", ""Drying rack for clothing"", ""Outdoor dining area"", ""High chair"", ""Dishes and silverware"", ""Wifi"", ""Outdoor furniture"", ""Shower gel"", ""Safe"", ""Dishwasher"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Paid parking garage on premises"", ""Washer"", ""Hair dryer"", ""Clothing storage: closet"", ""Elevator""]",$172.00,,1125,1,,7,,,,,t,,0,0,0,,64,31,1,0,37,186,31992,,2025-02-09,,4.63,4.42,4.8,,,4.36,HUTB-010458,t,24,22,2,0,
,https://www.nocarz.pl/rooms/7216651,,,city scrape,Apartamento Sagrada Familia,,"The Passatge Font is delightfully calm. Right across from the Sagrada Familia, it's a small passageway that truly represents the essence of living near the Sagrada Familia. The metro and several buses are just 300 meters away, therefore, moving from place to place is very simple. The calmness of the landscape is balanced by the hustle and bustle of the tourists visiting the Sagrada Familia. The food and leisure options in the surrounding area offer a great taste of the place to anyone looking to visit the city.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzIxNjY1MQ%3D%3D/original/7cbf1ba3-11f9-4152-a48e-905aba18a095.jpeg,37781517,,Felix,2015-07-07,"Barcelona, Spain","Soy una persona amante de los deportes, el cine e ir a la playa cuando hace buen tiempo. Además, me encanta conocer gente nueva y poder crear nuevos vínculos con los demás!",,,92%,f,https://a0.muscache.com/im/users/37781517/profile_pic/1436297023/original.jpg?aki_policy=profile_small,,,,7,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",la Sagrada Família,Eixample,41.40257,2.17514,Entire rental unit,Entire home/apt,,1.5,1.5 baths,3,5,"[""Coffee maker"", ""Clothing storage: wardrobe"", ""Shampoo"", ""Long term stays allowed"", ""Host greets you"", ""Paid parking on premises"", ""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Body soap"", ""Crib"", ""Luggage dropoff allowed"", ""Pets allowed"", ""TV"", ""Microwave"", ""Kitchen"", ""Cleaning products"", ""Books and reading material"", ""Ceiling fan"", ""Cooking basics"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""AC - split type ductless system"", ""Oven"", ""Extra pillows and blankets"", ""First aid kit"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Wifi"", ""Shower gel"", ""High chair - available upon request"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Washer"", ""Hair dryer""]",$169.00,,1125,,4,1125,1125,3.9,1125.0,,t,1,11,30,,2025-03-10,236,,4,128,45,255,43095,2015-07-25,2025-02-21,4.46,4.61,,4.77,4.74,4.9,,HUTB-006755,f,1,1,0,0,
6807173,,20250305023237,,previous scrape,Big Room in SAGRADA FAMILIA,"You will have your private room, that is big and confortable (with TV, Sofa, dinning table and chairs and a balcony!) the kitchen and the bathroom are shared.<br />The apartment is a third floor by stairs",,,,https://www.nocarz.pl/users/show/4053184,Josefina,2012-11-04,"Valencia, Spain","I am a cheerful and friendly person. I'm flexible and openminded. I LOVE to travel and meet new people. 

""Si piensas bonito, te sucede bonito""",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/4053184/profile_pic/1429548486/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4053184/profile_pic/1429548486/original.jpg?aki_policy=profile_x_medium,El Camp de l'Arpa del Clot,2,3,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",,Eixample,,2.18053,Private room in rental unit,Private room,2,,1 bath,,,"[""Breakfast"", ""Shampoo"", ""Wifi"", ""Washer"", ""TV with standard cable"", ""Pets allowed"", ""First aid kit"", ""Kitchen"", ""Heating"", ""Air conditioning"", ""Essentials""]",,1,,1,1,1125,1125,1.0,,,t,,,0,0,2025-03-06,10,0,,0,0,0,,,2015-09-27,4.5,4.6,,,4.7,4.6,4.5,,f,2,0,,0,0.09
6855516,https://www.nocarz.pl/rooms/6855516,20250305023237,,city scrape,2Bdrm Sunset Balcony Tapas Montjuic Blai SANITIZED,"Set in a prized area for tapas and vermouth, you'll get the best of Barcelona and sunset views in your very own Poble Sec pad. Enjoy the cool local vibe nestled below Montjuïc and fast transport connections to beach (10 mins) and airport (30 mins).<br /><br />Perfectly located near the FCB Olimpic stadium Lluis Companys (25 minutes walk), the Fira and Palau Sant Jordi, for: Sonar, Mobile World Congress, other fairs and concerts.","Poble Sec is the fastest rising neighbourhood in Barcelona. Foodies will delight in the tapas and vermut scene here, highlighted on Calle Blai just around the corner, which is buzzing with Pintxo bars. Fine dining includes Xemei (with 1 Michelin Star) and Tickets restaurant of Ferran “El Bulli” fame. Cross Av.Parallel into Sant Antoni to the new brunch mecca with cafés, bodegas (old wine cellars) and super trendy local hangouts (Rekons, Taranno, Federal, Lando, El Dinamic to name just a few). <br />One of Barcelona’s must-sees is Montjuïc. A short walk uphill will take you to some of the citys best and lesser known attractions, such as: A multitude of lush, winding gardens with panoramic views to the city and the sea, the Olympic swimming pools, the Joan Miró gallery, summer open-air cinema at the castle wall, the Grec theatre festival, the enjoyable Magic Fountains and the Fira tradeshow arena at the foot of the MNAC (National art palace museum). Be sure to pack a picnic! <br />Nightl",https://a0.muscache.com/pictures/90212497/c61c80b6_original.jpg,362734677,https://www.nocarz.pl/users/show/362734677,Juan Carlos,2020-08-16,"Barcelona, Spain",I am a very openminded guy. I do love meeting new people and also love to try new restaurants. Nothing better than having a glass of wine with good company.,,N/A,N/A,,https://a0.muscache.com/im/pictures/user/c815f735-080f-43d3-a5d3-6058a6414d76.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c815f735-080f-43d3-a5d3-6058a6414d76.jpg?aki_policy=profile_x_medium,,,,,t,,"Barcelona, Catalunya, Spain",el Poble Sec,Sants-Montjuïc,41.37227,2.16713,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,,"[""Ceiling fan"", ""Dedicated workspace"", ""Shampoo"", ""Refrigerator"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Long term stays allowed"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Baking sheet"", ""Laundromat nearby"", ""Fast wifi \u2013 51 Mbps"", ""Outdoor furniture"", ""Iron"", ""Bed linens"", ""Baby bath"", ""Self check-in"", ""Private patio or balcony"", ""Single level home"", ""Clothing storage: dresser"", ""Oven"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Wine glasses"", ""First aid kit"", ""Portable heater"", ""Stove"", ""Courtyard view"", ""Hot water kettle"", ""Cooking basics"", ""Crib"", ""55 inch HDTV with standard cable"", ""Coffee"", ""Window AC unit"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Lockbox"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Essentials"", ""High chair"", ""Shower gel""]",,3,120,2,3,,,3.0,1125.0,,,23,49,79,217,2025-03-06,308,34,1,,35,,,2015-07-20,,4.83,4.9,4.89,4.95,4.98,,,,f,9,9,0,,2.63
6856056,https://www.nocarz.pl/rooms/6856056,20250305023237,2025-03-05,city scrape,Lovely apartment in Sagrada Familia,,"It is one of the typical neighborhoods of L’Eixample, characterized by its wide grid-shaped streets. The origin of more than half of the population of the neighborhood is from Barcelona and the majority of its inhabitants are older people. Not many students live here, and you don't feel much ethnic or international influence.<br />In the center of the neighborhood is the world-famous temple of Gaudí's Sagrada Familia. It is the most important architectural work of Catalan modernism<br />Avinguda Gaudí is a road that connects the temple of the Sagrada Familia with another work of Catalan modernism: the Hospital de Sant Pau. Both buildings have been declared a World Heritage Site by UNESCO. It is a walk where the commercial and restaurant premises stand out. A point to highlight on this avenue are the modernist lampposts that are found along the entire promenade.<br />Sant Pau Hospital is a modernist hospital designed by Lluís Domènech i Montaner. You will be impressed by the enigmatic p",https://a0.muscache.com/pictures/prohost-api/Hosting-6856056/original/d6b5f616-c646-4e9f-976e-0012fbe592cb.png,27514370,https://www.nocarz.pl/users/show/27514370,,,"Barcelona, Spain","Nací en Girona,una ciudad preciosa ,pero fue al llegar a Barcelona cuando me sentí realmente en casa; Me apasiona la ciudad y que los amigos y huéspedes que la visiten se sientan cómodos y disfruten de su estancia.
Cuando viajo a otros países no me gusta sentirme como una turista e intento visitar los rincones menos conocidos,así que a mis huéspedes intento recomendarles algún buen sitio,según los intereses de cada persona .

Intento mejorar cada día como persona,mi manera de intentar poner mi granito de arena en el mundo es tratar a todo el mundo como me gustaría que actuaran conmigo ,y no podría vivir sin mi marido y mi hija,sin mi gran familia,mis buenos amigos ,ni sin mis gatas y mis libros,con una copa de vino,no necesito mucho más .",within an hour,,96%,,https://a0.muscache.com/im/pictures/user/User-27514370/original/9d6599e3-3109-41d1-b3d8-4c1d6a3a77dc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-27514370/original/9d6599e3-3109-41d1-b3d8-4c1d6a3a77dc.jpeg?aki_policy=profile_x_medium,L'Antiga Esquerra de l'Eixample,11,11,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",el Baix Guinardó,Horta-Guinardó,41.4077,2.16947,,,5,2.0,2 baths,3,4,"[""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Shampoo"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Books and reading material"", ""Drying rack for clothing"", ""Host greets you"", ""Paid parking off premises"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Baking sheet"", ""Laundromat nearby"", ""Pets allowed"", ""Iron"", ""Bed linens"", ""Baby bath"", ""Portable fans"", ""City skyline view"", ""Single level home"", ""Oven"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Wine glasses"", ""Crib - available upon request"", ""First aid kit"", ""Board games"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Hot water kettle"", ""Cooking basics"", ""Coffee"", ""Standalone high chair - always at the listing"", ""Freezer"", ""Coffee maker: drip coffee maker, espresso machine"", ""Cleaning products"", ""Room-darkening shades"", ""Dining table"", ""Radiant heating"", ""Central air conditioning"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Hair dryer"", ""Toaster"", ""Electric stove"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Essentials"", ""Shower gel""]",$217.00,4,30,2,4,,1125,,1125.0,,t,5,7,19,95,,160,,0,95,42,255,,2015-08-12,,,4.89,4.82,4.95,,4.87,4.75,Hutb-008159,f,10,7,3,0,1.37
6879553,https://www.nocarz.pl/rooms/6879553,,2025-03-06,previous scrape,,,"Located on the amazing avenue Paseo Sant Joan that has a pedestrian area and is full of terraces, restaurants, shops. You are about 10 minutes walk to Paseo de Gracia and right a 2 blocks from Gracia neighborhood. Gracia is like a small village in the heart of the city and has a lot of place to dine and shop.",https://a0.muscache.com/pictures/87070196/dc64ab31_original.jpg,2625546,https://www.nocarz.pl/users/show/2625546,,2012-06-13,"Barcelona, Spain",,N/A,N/A,N/A,f,https://a0.muscache.com/im/users/2625546/profile_pic/1339581638/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2625546/profile_pic/1339581638/original.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Barcelona, Spain",el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.16612,Private room in rental unit,Private room,1,,1 shared bath,2,,,,3,1125,3,3,1125,,3.0,1125.0,,,0,0,0,,2025-03-06,,0,,0,0,0,,,,,,,,,,,,f,2,,2,,
7062775,https://www.nocarz.pl/rooms/7062775,20250305023237,,previous scrape,Chambre double donnant sur terrasse,,,https://a0.muscache.com/pictures/89593128/4798c8e0_original.jpg,1711997,https://www.nocarz.pl/users/show/1711997,NordinS,2012-02-07,"Barcelona, Spain","Franco-espagnol vivant à Barcelone depuis 12 ans
Sociable, ouvert d'esprit et voyageur
Je parle français, espagnol et anglais :)",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/ff0598b2-36b3-4ef8-952a-5a145321d4c3.jpg?aki_policy=profile_small,,,2,2,"['email', 'phone']",t,t,,el Raval,Ciutat Vella,,2.16643,Private room in rental unit,Private room,,,1 bath,,,"[""Dryer"", ""TV"", ""Wifi"", ""Washer"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Smoking allowed"", ""Heating"", ""Essentials""]",,2,12,,2,12,,,12.0,,,,0,0,0,2025-03-07,0,,0,,,0,,,,,,,,,,,,f,2,0,2,0,
7555206,https://www.nocarz.pl/rooms/7555206,,2025-03-07,previous scrape,,,The camp Nou is just 10min by walk. There is a supermarket  and a market near to the flat (5min). Plaza España (Montjuic) is also near (20 min by walk).<br />It is a quiet area.,https://a0.muscache.com/pictures/96919624/cc54c783_original.jpg,,,Marion,2010-10-07,,"",,,N/A,f,https://a0.muscache.com/im/pictures/user/2e5a918c-3238-44c4-8bbd-6d8414715b4f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2e5a918c-3238-44c4-8bbd-6d8414715b4f.jpg?aki_policy=profile_x_medium,,1,,,t,t,"Barcelona, Catalonia, Spain",Sants - Badal,Sants-Montjuïc,41.37455,2.12792,Private room in rental unit,Private room,2,,1 bath,,,,,1,,1,1,1125,,1.0,1125.0,,t,0,0,0,0,2025-03-07,1,0,0,0,0,,,,2015-08-21,5.0,5.0,5.0,,,5.0,5.0,,,1,0,1,0,0.01
7576967,https://www.nocarz.pl/rooms/7576967,20250305023237,2025-03-07,previous scrape,,"Live in the middle of the medieval area, in the heart of Barcelona.<br />You will feel home and have access to everything, meet local people that will make the most of your experience!<br /><br />Metros: Liceu and Jaume 1  at 3mn walking.<br />Beach is 10mn.","You will live in the middle of the old medieval district, located in the ""Barrio Gotico"", more precisely called ""Barrio del Call""<br />The Call is the name of the old Jewish settlement in Barcelona which was in the northeast part of the old Roman city of Barcino in the 12th to 14th century. <br />The atmosphere is pretty amazing when walking through these tiny streets full of history!",https://a0.muscache.com/pictures/96388067/93ebf720_original.jpg,39726832,https://www.nocarz.pl/users/show/39726832,Miguel,2015-07-27,,"Hola, soy Miguel!

I am half Spanish/half French. I like music, cinema, and avocado.. 
But this is not the point. 

As I'm leaving the city for holidays, if you rent my nice and bright room, you will be sharing the apartment with a guy from Barcelona and a girl. All in a quiet and cultural atmosphere.  

They will be happy to help you find your way around the city and will be here to recommend you the right places! They will consider you as their flat mate(s), and also respect your privacy!

If you need any information, feel free to ask me anything!

",,N/A,N/A,f,https://a0.muscache.com/im/users/39726832/profile_pic/1438020942/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/39726832/profile_pic/1438020942/original.jpg?aki_policy=profile_x_medium,El Gòtic,1,1,"['phone', 'work_email']",t,t,,el Barri Gòtic,Ciutat Vella,41.38242,2.17684,Private room in rental unit,Private room,2,,1 bath,,,"[""Shampoo"", ""Wifi"", ""Washer"", ""Kitchen"", ""Smoking allowed""]",,1,1125,1,,,1125,1.0,1125.0,,t,,0,0,,,2,0,,0,0,0,,2015-08-13,2015-08-16,,4.5,3.0,5.0,,5.0,4.0,,f,,,1,0,
7652799,,,2025-03-06,city scrape,"Jardinets de Gràcia A, Barcelona! HUTB-011033-15","We offer a sunny and central apartment for 5 people in the Eixample district, near the Pedrera and well connected to the rest of the city. <br />It has 3 bedrooms, 1 bathroom, optical fiber, AC, equipped kitchen. We provide sheets and towels. And we will be happy to welcome you at the apartment on your arrival and inform everything necessary to guarantee you a good stay.<br />TOURIST TAX and others extras are NOT included in the price. Please check the House Rules.","Apartment located in the upper area of the Eixample district, touching the Gràcia neighborhood. At 2 minutes from Passeig de Gràcia, one of the main streets of the city where there are 2 of the most emblematic buildings of Gaudí. With many restaurants in the area and a supermarket open 24h right in front of our building. The streets of Barcelona's Eixample are very busy with cars during the day but they are quiet at night and on weekends.",https://a0.muscache.com/pictures/101223427/ddaecfa0_original.jpg,2688205,https://www.nocarz.pl/users/show/2688205,Mònica,2012-06-20,"Barcelona, Spain","Diane and I will make sure that you feel comfortable and have a wonderful stay in Barcelona. If you have any question, feel free to ask !",,100%,,t,https://a0.muscache.com/im/users/2688205/profile_pic/1414088124/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2688205/profile_pic/1414088124/original.jpg?aki_policy=profile_x_medium,La Nova Esquerra de l'Eixample,,,"['email', 'phone']",,t,"Barcelona, Catalunya, Spain",la Vila de Gràcia,Gràcia,41.39888,2.16226,Entire rental unit,Entire home/apt,5,1.0,,3,5,,$214.00,,1125,1,,1125,1125,3.0,1125.0,,t,,15,17,115,2025-03-06,380,61,2,115,,,54570,2015-08-19,2025-02-20,4.79,4.87,4.83,4.89,,,4.72,,f,12,12,0,0,
7696131,,20250305023237,2025-03-08,,2 B-rooms in a Classic Spanish flat,"2 separate rooms in a typical Eixample flat (High ceilings with Modernist dec). Excellent location (10 min walk to Sagrada Familia, 8 min to Passeig de Gracia,  15 min to Plaza Catalunya and 5 min to Verdaguer metro station (Blue & Yellow line).",,https://a0.muscache.com/pictures/97958849/94a5d972_original.jpg,7496141,https://www.nocarz.pl/users/show/7496141,Aav,2013-07-15,,,,N/A,N/A,f,https://a0.muscache.com/im/users/7496141/profile_pic/1438703297/original.jpg?aki_policy=profile_small,,Dreta de l'Eixample,2,4,"['email', 'phone']",t,,"Barcelona, Catalunya, Spain",la Dreta de l'Eixample,Eixample,41.39735,2.16847,Private room in rental unit,Private room,1,,,,,"[""Dryer"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Air conditioning"", ""Essentials""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,,0,0,0,2025-03-08,1,0,0,0,0,0,,2015-08-12,2015-08-12,5.0,,5.0,,5.0,5.0,5.0,,f,2,0,,,
,https://www.nocarz.pl/rooms/7710686,,2025-03-08,previous scrape,Habitación individual en Gracia,,,https://a0.muscache.com/pictures/97988346/d9f70844_original.jpg,,https://www.nocarz.pl/users/show/40506131,Drielli,2015-08-04,,,N/A,N/A,N/A,f,,https://a0.muscache.com/im/users/40506131/profile_pic/1438710695/original.jpg?aki_policy=profile_x_medium,,1,1,,t,f,,la Vila de Gràcia,Gràcia,41.40178,2.15841,,Private room,1,,,,,"[""Wifi"", ""Washer"", ""Carbon monoxide alarm"", ""Kitchen"", ""Fire extinguisher"", ""Essentials""]",,1,1125,1,1,1125,,1.0,1125.0,,,0,,0,0,2025-03-08,,0,,0,0,,,,,,,,,,,,,f,1,0,,0,
7728805,https://www.nocarz.pl/rooms/7728805,20250305023237,2025-03-08,previous scrape,,"The room has a simple bed and overlooks an interior patio from the balcony.<br />The apartment is located in the neighborhood of ""Puxet"" one of the  most prestigious and picturesque neighborhoods in Barcelona with the Lesseps and Valcarca stations of the green line 4",,https://a0.muscache.com/pictures/a21cf12b-899c-45d6-961d-5b095033c5ba.jpg,,https://www.nocarz.pl/users/show/17780241,Flor,2014-07-07,,,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/b12f302a-4d74-40ee-80a4-d9542ae30ef4.jpg?aki_policy=profile_small,,El Putget i Farró,2,2,"['email', 'phone']",t,t,,el Putxet i el Farró,Sarrià-Sant Gervasi,41.40753,,Private room in rental unit,Private room,1,,1 bath,,,"[""Wifi"", ""Washer"", ""First aid kit"", ""Iron"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Heating"", ""Essentials""]",,7,1125,7,7,1125,1125,7.0,,,t,0,0,0,0,,,0,0,0,0,,,2016-08-15,2016-08-29,5.0,5.0,,5.0,5.0,5.0,5.0,,f,2,0,2,0,
8269439,https://www.nocarz.pl/rooms/8269439,,2025-03-07,city scrape,SF 52 - 2hab enfrente Sagrada Familia,,"The highlight of this apartment is its location as it is just next to the Sagrada Familia, a monument of world interest, the work of the famous architect Antoni Gaudí. In addition, in front is the SAGRADA FAMILIA metro station, corresponding to lines 2 and 5.<br /><br />In this way, you can get close to the old town (Gothic Quarter, Las Ramblas, Plaça Catalunya, Passeig de Gràcia, etc.) in just 5 minutes. You can also take a 15 minute walk.",https://a0.muscache.com/pictures/109485966/5edab1d1_original.jpg,336524176,https://www.nocarz.pl/users/show/336524176,,,,"Hola! Somos Weflating Apartments un equipo de gente joven con más de 10 años de experiencia en el sector, enamorados de nuestra ciudad. Nos dedicamos a la gestión de apartamentos turísticos ofreciendo un trato próximo y desenfadado pero a la vez profesional, con atención las 24h del día, un equipo internacional ( hablamos italiano, inglés, francés, alemán y español nativos) y muchas ganas de hacerte sentir como en casa. 
No dudes en contactarnos si tienes algún tipo de duda acerca de la ciudad o cualquiera de las propiedades que ofertamos, estamos aquí para ayudarte. 

Un saludo! 
Weflating Team",within a day,78%,42%,f,https://a0.muscache.com/im/pictures/user/1bff8b9d-bf46-4fe4-a385-9eeed5876264.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1bff8b9d-bf46-4fe4-a385-9eeed5876264.jpg?aki_policy=profile_x_medium,,40,,"['email', 'phone']",t,,"Barcelona, Catalunya, Spain",la Sagrada Família,Eixample,41.40319,,Entire rental unit,,4,1.0,1 bath,2,2,"[""Dryer"", ""TV"", ""Wifi"", ""Washer"", ""Iron"", ""Kitchen"", ""Host greets you"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Heating"", ""Air conditioning"", ""Essentials""]",$120.00,,250,,31,250,250,31.0,,,t,0,25,55,55,2025-03-07,1,0,0,55,0,,0,,2019-09-02,3.0,,5.0,2.0,1.0,5.0,,,f,27,27,0,0,0.01
,,,,previous scrape,S51 - 1 hab junto SAGRADA FAMILIA,"Cozy and quiet one-bedroom apartment located one minute from Sagrada Familia, in fact from the room there are views towards this spectacular monument.","Just 2 minutes away from Sagrada Familia, you can start your day with a breakfast in front of this wonderful monument. A neighborhood with lots of shops and surrounded by restaurants and bars.",https://a0.muscache.com/pictures/109485018/e86fc362_original.jpg,336524176,https://www.nocarz.pl/users/show/336524176,Weflating,,,"Hola! Somos Weflating Apartments un equipo de gente joven con más de 10 años de experiencia en el sector, enamorados de nuestra ciudad. Nos dedicamos a la gestión de apartamentos turísticos ofreciendo un trato próximo y desenfadado pero a la vez profesional, con atención las 24h del día, un equipo internacional ( hablamos italiano, inglés, francés, alemán y español nativos) y muchas ganas de hacerte sentir como en casa. 
No dudes en contactarnos si tienes algún tipo de duda acerca de la ciudad o cualquiera de las propiedades que ofertamos, estamos aquí para ayudarte. 

Un saludo! 
Weflating Team",within a day,78%,42%,f,https://a0.muscache.com/im/pictures/user/1bff8b9d-bf46-4fe4-a385-9eeed5876264.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1bff8b9d-bf46-4fe4-a385-9eeed5876264.jpg?aki_policy=profile_x_medium,La Sagrada Família,40,55,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",la Sagrada Família,Eixample,41.40482,2.17359,Entire rental unit,,4,,1 bath,1,,,,32,120,32,32,120,120,32.0,,,t,3,3,,6,2025-03-06,5,1,0,6,1,64,,2016-06-24,2024-12-02,4.4,4.8,4.8,4.4,5.0,5.0,4.6,,,27,27,,0,0.05
